         24480015 function calls (24477670 primitive calls) in 22.637 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1580    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      277    0.000    0.000    0.002    0.000 function_base.py:431(add_newdoc)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       19    0.000    0.000    0.002    0.000 sre_parse.py:919(parse)
      368    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
    38/19    0.000    0.000    0.002    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
    42/19    0.001    0.000    0.002    0.000 sre_parse.py:475(_parse)
       17    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       19    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
      281    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      422    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
    72/19    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
       17    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     1580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.001    0.001 signals.py:1(<module>)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       10    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
     2565    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
       35    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      422    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
     1872    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      422    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      341    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     2074    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        5    0.000    0.000    0.000    0.000 enum.py:135(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        7    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
     1698    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:5(<module>)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       42    0.000    0.000    0.000    0.000 enum.py:284(__call__)
       44    0.000    0.000    0.000    0.000 core.py:146(get_object_signature)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        2    0.000    0.000    0.000    0.000 enum.py:633(_convert)
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
       19    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
     3574    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
       13    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:389(_create_)
      567    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
     3431    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
       64    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF918196BA0}
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      402    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
    85/32    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
     2169    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
